Topic,BLANC-help,BLANC-tune
49ers,0.16532258064516128,0.09879032258064516
Amazon,0.1482889733840304,0.1482889733840304
Beyonce,0.13178294573643412,0.09108527131782945
Chicago,0.15555555555555556,0.13518518518518519
Christmas,0.11808118081180811,0.12915129151291513
Eagles,0.15693430656934307,0.09854014598540146
Facebook,0.1338432122370937,0.1089866156787763
Flu,0.1057347670250896,0.05197132616487455
Graduation,0.12562814070351758,0.09547738693467336
Grammys,0.17636022514071295,0.12382739212007504
Iphone,0.17125984251968504,0.14763779527559054
Kobe,0.14334470989761092,0.12286689419795221
McDonalds,0.15283018867924528,0.14150943396226415
NBA,0.09615384615384616,0.051923076923076926
NYC,0.13319672131147542,0.12295081967213115
Netflix,0.14081632653061224,0.1469387755102041
Obama,0.12962962962962962,0.10942760942760943
Paris,0.12353923205342238,0.10517529215358931
Patriots,0.16443594646271512,0.16634799235181644
Seahawks,0.1736745886654479,0.12431444241316271
Superbowl,0.16981132075471697,0.16037735849056603
Thanksgiving,0.12384473197781885,0.12754158964879853
VMA,0.06359649122807018,0.06359649122807018
WWE,0.16798418972332016,0.10474308300395258
Xbox,0.1539961013645224,0.14035087719298245
