Topic,BARTScore
49ers,-0.646378755569458
Amazon,-2.466813087463379
Beyonce,-1.2918999195098877
Chicago,-3.282935619354248
Christmas,-0.7852863073348999
Eagles,-0.6368264555931091
Facebook,-0.8708958625793457
Flu,-1.3976339101791382
Graduation,-0.6919904351234436
Grammys,-2.1568362712860107
Iphone,-0.825165867805481
Kobe,-0.9314365386962891
McDonalds,-0.5834347605705261
NBA,-1.7704275846481323
NYC,-3.1586132049560547
Netflix,-1.804650068283081
Obama,-0.707694947719574
Paris,-2.4215829372406006
Patriots,-1.5233348608016968
Seahawks,-2.120562791824341
Superbowl,-0.8149154186248779
Thanksgiving,-0.8414244055747986
VMA,-1.1115654706954956
WWE,-0.7964040637016296
Xbox,-0.8186854720115662
