Topic,BLANC-help,BLANC-tune
49ers,0.1532258064516129,0.125
Amazon,0.16539923954372623,0.17680608365019013
Beyonce,0.17248062015503876,0.08527131782945736
Chicago,0.13148148148148148,0.1037037037037037
Christmas,0.14760147601476015,0.15129151291512916
Eagles,0.17883211678832117,0.09854014598540146
Facebook,0.13193116634799235,0.0994263862332696
Flu,0.08422939068100359,0.07706093189964158
Graduation,0.11725293132328309,0.09045226130653267
Grammys,0.18761726078799248,0.13320825515947468
Iphone,0.1515748031496063,0.1437007874015748
Kobe,0.13651877133105803,0.09897610921501707
McDonalds,0.13962264150943396,0.11132075471698114
NBA,0.10192307692307692,0.05
NYC,0.10655737704918032,0.07581967213114754
Netflix,0.13877551020408163,0.16122448979591836
Obama,0.12626262626262627,0.14814814814814814
Paris,0.1419031719532554,0.11352253756260434
Patriots,0.16252390057361377,0.14531548757170173
Seahawks,0.12797074954296161,0.08043875685557587
Superbowl,0.2169811320754717,0.17358490566037735
Thanksgiving,0.1423290203327172,0.10351201478743069
VMA,0.10964912280701754,0.09649122807017543
WWE,0.08893280632411067,0.03162055335968379
Xbox,0.1617933723196881,0.14619883040935672
