Topic,coherence,consistency,fluency,overall
49ers,0.48287698626756637,0.23539093056872937,0.4925680440036088,0.40361198694663486
Amazon,0.03519046102263533,0.14734581096790927,0.36995932698231754,0.1841651996576207
Beyonce,0.46094398810473586,0.4436605366836065,0.6584739494097018,0.5210261580660147
Chicago,0.26056831030119865,0.2849023948062008,0.44610020661805966,0.3305236372418197
Christmas,0.3987851283999319,0.59161066302686,0.6787944369227416,0.5563967427831779
Eagles,0.5446740388393142,0.46210007248455237,0.6846942484367591,0.5638227865868752
Facebook,0.5223835746287986,0.5080749317857157,0.5889718344018775,0.5398101136054639
Flu,0.24862209476107744,0.47776900840826714,0.5865303250793141,0.43764047608288625
Graduation,0.01190728308837424,0.2531372084918015,0.366863116296768,0.21063586929231456
Grammys,0.043876363419970865,0.24048231152130864,0.521231944050379,0.26853020633055286
Iphone,0.5094959195657145,0.3320048921709346,0.6811639089336349,0.5075549068900947
Kobe,0.17836698091474174,0.18801992473054327,0.4083168595222806,0.2582345883891885
McDonalds,0.16975186989972738,0.3654738905577521,0.44129291813617477,0.3255062261978848
NBA,0.7568684456346809,0.3819647102748925,0.6771836792630375,0.6053389450575369
NYC,0.6804190118978963,0.4989571602171723,0.8175644053223827,0.6656468591458171
Netflix,0.28400071716795905,0.4116805336477076,0.653451575239076,0.44971094201824763
Obama,0.15287525615431602,0.315555572167271,0.5361513757785753,0.33486073470005406
Paris,0.31537649808512613,0.3481359024705277,0.5532056034206763,0.40557266799211006
Patriots,0.8615932898307668,0.596780050135407,0.8250381691370803,0.7611371697010846
Seahawks,0.4566075826837254,0.31937427594570295,0.5207381380896037,0.43223999890634407
Superbowl,0.47311401491607474,0.669562014290435,0.7105229118234195,0.6177329803433098
Thanksgiving,0.10458902001570533,0.40812642029639407,0.6061275193848366,0.372947653232312
VMA,0.512676740538348,0.524020865446495,0.7911051398946674,0.6092675819598368
WWE,0.5686670779427849,0.4366987284886927,0.7320849051291743,0.5791502371868841
Xbox,0.4192331646835822,0.399119491656647,0.6022865516469155,0.4735464026623816
