Topic,BLANC-help,BLANC-tune
49ers,0.1532258064516129,0.14919354838709678
Amazon,0.14258555133079848,0.11596958174904944
Beyonce,0.1821705426356589,0.1511627906976744
Chicago,0.14444444444444443,0.12037037037037036
Christmas,0.13653136531365315,0.16605166051660517
Eagles,0.1989051094890511,0.14963503649635038
Facebook,0.13766730401529637,0.13193116634799235
Flu,0.14874551971326164,0.08960573476702509
Graduation,0.08877721943048576,0.07705192629815745
Grammys,0.20637898686679174,0.16135084427767354
Iphone,0.13188976377952755,0.12992125984251968
Kobe,0.1348122866894198,0.09726962457337884
McDonalds,0.10943396226415095,0.1490566037735849
NBA,0.09615384615384616,0.04038461538461539
NYC,0.0860655737704918,0.045081967213114756
Netflix,0.15918367346938775,0.17551020408163265
Obama,0.11784511784511785,0.1111111111111111
Paris,0.13856427378964942,0.1285475792988314
Patriots,0.14149139579349904,0.16252390057361377
Seahawks,0.12979890310786105,0.113345521023766
Superbowl,0.19433962264150945,0.16226415094339622
Thanksgiving,0.15711645101663585,0.14417744916820702
VMA,0.10526315789473684,0.08771929824561403
WWE,0.10869565217391304,0.04940711462450593
Xbox,0.13060428849902533,0.14619883040935672
