Topic,SUPERT
49ers,0.5310690461655649
Amazon,0.5766521900422674
Beyonce,0.5140221601513713
Chicago,0.4123195023120985
Christmas,0.5619008319537121
Eagles,0.5326406193423537
Facebook,0.6124022400682705
Flu,0.5196904798124728
Graduation,0.5256202803087565
Grammys,0.4801487311218768
Iphone,0.578540490787365
Kobe,0.5643951728187045
McDonalds,0.549910116015163
NBA,0.5052480389080816
NYC,0.3799285267455821
Netflix,0.6046391568689041
Obama,0.5682412366986542
Paris,0.43970470089340974
Patriots,0.4717132196672809
Seahawks,0.5125816000741622
Superbowl,0.48658685722439016
Thanksgiving,0.5690716330342902
VMA,0.45930488299729155
WWE,0.6598942462848397
Xbox,0.6353725923817387
