Topic,Representation Gap
49ers,0.3333333333333333
Amazon,0.6666666666666667
Beyonce,0.3333333333333333
Chicago,0.6666666666666667
Christmas,0.0
Eagles,0.7142857142857142
Facebook,0.0
Flu,0.6666666666666667
Graduation,0.0
Grammys,0.3333333333333333
Iphone,0.3333333333333333
Kobe,0.3333333333333333
McDonalds,0.3333333333333333
NBA,0.3333333333333333
NYC,0.3333333333333333
Netflix,0.0
Obama,0.3333333333333333
Paris,0.6666666666666667
Patriots,0.3333333333333333
Seahawks,0.3333333333333333
Superbowl,0.6666666666666667
Thanksgiving,0.0
VMA,0.6666666666666667
WWE,0.0
Xbox,0.0
