Topic,coherence,consistency,fluency,overall
49ers,0.0943594238567364,0.14893648797701733,0.5980245194486656,0.28044014376080645
Amazon,0.09672616061828385,0.25805799324218137,0.49098009418119,0.28192141601388504
Beyonce,0.18642327320519922,0.4216187293447921,0.6031705889062413,0.4037375304854109
Chicago,0.004273173587764978,0.27937101215322696,0.4691650771452635,0.2509364209620852
Christmas,0.30889532010708576,0.6161109230463307,0.7038044958530177,0.5429369130021447
Eagles,0.034422474566777106,0.5650975649861978,0.8477833379024862,0.48243445915182037
Facebook,0.013543866128536643,0.654465033793393,0.7708703347013491,0.4796264115410929
Flu,0.4373549771280427,0.6248539642824156,0.8560691469556365,0.639426029455365
Graduation,0.06465416690129909,0.026899273454719576,0.05649344101452652,0.0493489604568484
Grammys,0.09012025870320539,0.263597021317379,0.5268624072819659,0.2935265624341834
Iphone,0.023837170176950667,0.272965639784555,0.5546031919129666,0.2838020006248241
Kobe,0.1329395029714602,0.31093091650579424,0.5763647968565472,0.3400784054446005
McDonalds,0.4765395617377115,0.5853112800740529,0.7476330257941676,0.6031612892019774
NBA,0.1903321973497133,0.34078320689561187,0.6471886884082438,0.392768030884523
NYC,0.5317045768185621,0.3429692256098733,0.7138869701072432,0.5295202575118929
Netflix,0.5681157277966684,0.4275630813635803,0.770189078821102,0.588622629327117
Obama,0.272262055895996,0.3896111553432027,0.5432290331145375,0.40170074811791207
Paris,0.44586498007242653,0.4484273699077984,0.6954782762500747,0.5299235420767666
Patriots,0.3976885557246292,0.3506362176317798,0.6265745818098959,0.45829978505543495
Seahawks,0.13423186743075563,0.35337655606488605,0.6540561656608059,0.3805548630521492
Superbowl,0.010556967457743123,0.4695400718474995,0.6332528270569994,0.37111662212074736
Thanksgiving,0.1520291663606947,0.4071635861165688,0.6152961082163109,0.39149628689785815
VMA,0.6394016986193052,0.4477620010735866,0.8022115286996706,0.6297917427975208
WWE,0.058887180498916405,0.20222090625102274,0.6452785853876619,0.3021288907125337
Xbox,0.7410615851774427,0.4019854780217719,0.6527218992929703,0.5985896541640616
