Topic,BARTScore
49ers,-2.467663049697876
Amazon,-0.6605730652809143
Beyonce,-3.7569098472595215
Chicago,-3.654658555984497
Christmas,-1.93295419216156
Eagles,-1.0734689235687256
Facebook,-3.3793413639068604
Flu,-2.7826144695281982
Graduation,-0.945447564125061
Grammys,-1.3863831758499146
Iphone,-1.7827856540679932
Kobe,-2.617438793182373
McDonalds,-2.5036776065826416
NBA,-2.656972646713257
NYC,-2.146101951599121
Netflix,-0.7753809094429016
Obama,-2.0778892040252686
Paris,-2.0434651374816895
Patriots,-0.8624478578567505
Seahawks,-1.4410710334777832
Superbowl,-1.5767134428024292
Thanksgiving,-2.5739004611968994
VMA,-2.036787271499634
WWE,-1.5718587636947632
Xbox,-1.0946441888809204
