Topic,BLANC-help,BLANC-tune
49ers,0.15120967741935484,0.11290322580645161
Amazon,0.16159695817490494,0.188212927756654
Beyonce,0.1298449612403101,0.08527131782945736
Chicago,0.15,0.12777777777777777
Christmas,0.13284132841328414,0.15867158671586715
Eagles,0.14416058394160583,0.10948905109489052
Facebook,0.14722753346080306,0.10707456978967496
Flu,0.10931899641577061,0.07885304659498207
Graduation,0.11222780569514237,0.10887772194304858
Grammys,0.18761726078799248,0.150093808630394
Iphone,0.1279527559055118,0.13582677165354332
Kobe,0.13310580204778158,0.10580204778156997
McDonalds,0.13773584905660377,0.11509433962264151
NBA,0.1076923076923077,0.051923076923076926
NYC,0.07172131147540983,0.030737704918032786
Netflix,0.14489795918367346,0.16326530612244897
Obama,0.12794612794612795,0.09595959595959595
Paris,0.12020033388981637,0.1018363939899833
Patriots,0.1701720841300191,0.13575525812619502
Seahawks,0.12248628884826325,0.08226691042047532
Superbowl,0.19622641509433963,0.17358490566037735
Thanksgiving,0.12384473197781885,0.14417744916820702
VMA,0.1074561403508772,0.08114035087719298
WWE,0.13043478260869565,0.0691699604743083
Xbox,0.08771929824561403,0.08771929824561403
