Topic,SQA
49ers,0.06472962066182407
Amazon,0.09669018843824763
Beyonce,0.12749048200603225
Chicago,0.06190897597977244
Christmas,0.056390308967628554
Eagles,0.0774134316489554
Facebook,0.05172413793103448
Flu,0.03773584905660377
Graduation,0.02752934969001451
Grammys,0.05381859631981762
Iphone,0.01639344262295082
Kobe,0.14942528735632185
McDonalds,0.06133333333333334
NBA,0.06515687664708472
NYC,0.07690058479532164
Netflix,0.1670258667063533
Obama,0.07260565849144231
Paris,0.0684871845290014
Patriots,0.11143289153675166
Seahawks,0.059663865546218484
Superbowl,0.08536585365853659
Thanksgiving,0.11009854448048684
VMA,0.06253687315634218
WWE,0.04817829961339089
Xbox,0.062402738873327104
