Topic,coherence,consistency,fluency,overall
49ers,0.6095950297850142,0.3778134142299556,0.7590584733756353,0.5821556391302017
Amazon,0.019477603951202817,0.2943927384126041,0.6097745766878286,0.30788163968387855
Beyonce,0.5866945109603527,0.3699455494625212,0.7611628398422017,0.5726009667550253
Chicago,0.24253415023304065,0.310276193314336,0.4055479263617021,0.3194527566363596
Christmas,0.18157609507688238,0.3797134119264186,0.524898584047624,0.36206269701697497
Eagles,0.2606010869877498,0.21512780900681805,0.7621500219424102,0.4126263059789927
Facebook,0.311560927652291,0.4160579996587327,0.6777917314037755,0.4684702195715997
Flu,0.11306912310989681,0.19982195040826856,0.7661843598537598,0.359691811123975
Graduation,0.621679619070462,0.5110388117992833,0.8854928473389746,0.67273709273624
Grammys,0.07527820900584814,0.3894830476812992,0.674859824650405,0.37987369377918406
Iphone,0.3409101712538702,0.5983068373235778,0.7177828251233926,0.5523332779002802
Kobe,0.03345019625256816,0.25865465625824074,0.6493331444646634,0.31381266565849075
McDonalds,0.11840800091422057,0.4102466769361891,0.7242290506865923,0.41762790951233403
NBA,0.0066654257486738954,0.34465445890860963,0.5254785207923218,0.2922661351498685
NYC,0.2883673323659004,0.35441290735703557,0.6788472375085319,0.4405424924104893
Netflix,0.21599288195933278,0.26813176727451554,0.611439293598262,0.3651879809440368
Obama,0.556018086644793,0.43838933250506257,0.7753457835698363,0.5899177342398972
Paris,0.016748110647465342,0.17261165516955335,0.3954067095145755,0.19492215844386473
Patriots,0.07705017301901715,0.49841199553372867,0.6688693183626392,0.41477716230512834
Seahawks,0.17466109932024657,0.33681491956966425,0.5675475399987527,0.35967451962955455
Superbowl,0.4365306245309774,0.4744555429336944,0.7604923500863617,0.5571595058503446
Thanksgiving,0.18907960601265286,0.3059886455644637,0.3595093668646057,0.28485920614724075
VMA,0.004379175193488545,0.41126405887354894,0.6399966050131614,0.3518799463600663
WWE,0.028964102838590588,0.24998217948576823,0.5652151359441645,0.2813871394228411
Xbox,0.1800643326866229,0.45293770840150693,0.5932446649420577,0.40874890201006253
