Topic,SUPERT
49ers,0.5197325926260441
Amazon,0.5647942209251033
Beyonce,0.5682667635904018
Chicago,0.48713648506304946
Christmas,0.4754751848148124
Eagles,0.5522277054375928
Facebook,0.6078476446066537
Flu,0.45112425623047064
Graduation,0.4804439127195224
Grammys,0.49800674403327383
Iphone,0.6056155178664628
Kobe,0.5669805723813227
McDonalds,0.6042251519590298
NBA,0.4799193879903867
NYC,0.3958891047048956
Netflix,0.6246175037808833
Obama,0.5338240062184311
Paris,0.5217367696490628
Patriots,0.491090378674128
Seahawks,0.5206125677758277
Superbowl,0.5047352584334546
Thanksgiving,0.5667846743354956
VMA,0.41905470730897676
WWE,0.5800690555412324
Xbox,0.5264862207349962
