Topic,coherence,consistency,fluency,overall
49ers,0.18541747915746887,0.3656120525716597,0.4924149472719911,0.3478148263337066
Amazon,0.2971703479080441,0.47328578651168335,0.6915688467529391,0.48734166039088883
Beyonce,0.5911091704998491,0.540240716862755,0.810596796210909,0.6473155611911711
Chicago,0.12143713457150485,0.5845847716674959,0.75509913850711,0.48704034824870357
Christmas,0.40245249664630667,0.48257418799434626,0.6959495719741163,0.5269920855382564
Eagles,0.10778973215054061,0.33499951647873744,0.5116786676373631,0.3181559720888804
Facebook,0.09391205985235426,0.39824648869924173,0.585908291695225,0.359355613415607
Flu,0.022152788811150903,0.15967406944998733,0.6714692378927882,0.2844320320513088
Graduation,0.1894121948962881,0.1880934634726505,0.40660762490026114,0.26137109442306655
Grammys,0.10392522487959037,0.38591811928100794,0.5106143171921733,0.33348588711759053
Iphone,0.011135820058703763,0.10580824307296431,0.22987256198262476,0.11560554170476428
Kobe,0.01666996349257204,0.3884269047280304,0.5012582555720699,0.30211837459755747
McDonalds,0.4871075133799065,0.25607420463737995,0.4745572527696393,0.4059129902623086
NBA,0.20964515776255588,0.34908797667312425,0.6188868809239245,0.3925400051198682
NYC,0.05691294094331037,0.33724804242955414,0.5621404439457949,0.3187671424395531
Netflix,0.023962614318682074,0.3431486945974907,0.6391599390313555,0.33542374931584273
Obama,0.09202058584531506,0.3246435555493533,0.4195286847932808,0.27873094206264976
Paris,0.47235328024307527,0.3945986654994963,0.6702103921536581,0.5123874459654099
Patriots,0.007388109167254418,0.33355170176989496,0.597308047635144,0.3127492861907644
Seahawks,0.10602107690028369,0.22232287244960783,0.6315244938568723,0.31995614773558795
Superbowl,0.23523538177266495,0.43312476515018217,0.4741665454219395,0.3808422307815955
Thanksgiving,0.14201547447072346,0.2509683012929332,0.48501997231280586,0.2926679160254875
VMA,0.14081197252073804,0.2867900018760987,0.4142825879878197,0.28062818746155216
WWE,0.09438913220251884,0.2874135338156302,0.544622093095583,0.30880825303791065
Xbox,0.219018228825605,0.2985292329502202,0.41993207773897284,0.312493179838266
